file_path,benchmark_name,num_qubits,MQTPredictor_fidelity_time,MQTPredictor_fidelity_fidelity,MQTPredictor_fidelity_critical_depth,MQTPredictor_critical_depth_time,MQTPredictor_critical_depth_fidelity,MQTPredictor_critical_depth_critical_depth,qiskit_ibm_washington_time,qiskit_ibm_washington_fidelity,qiskit_ibm_washington_critical_depth,qiskit_ibm_montreal_time,qiskit_ibm_montreal_fidelity,qiskit_ibm_montreal_critical_depth,qiskit_oqc_lucy_time,qiskit_oqc_lucy_fidelity,qiskit_oqc_lucy_critical_depth,qiskit_rigetti_aspen_m2_time,qiskit_rigetti_aspen_m2_fidelity,qiskit_rigetti_aspen_m2_critical_depth,qiskit_ionq_harmony_time,qiskit_ionq_harmony_fidelity,qiskit_ionq_harmony_critical_depth,qiskit_ionq_aria1_time,qiskit_ionq_aria1_fidelity,qiskit_ionq_aria1_critical_depth,qiskit_quantinuum_h2_time,qiskit_quantinuum_h2_fidelity,qiskit_quantinuum_h2_critical_depth,tket_ibm_washington_time,tket_ibm_washington_fidelity,tket_ibm_washington_critical_depth,tket_ibm_montreal_time,tket_ibm_montreal_fidelity,tket_ibm_montreal_critical_depth,tket_oqc_lucy_time,tket_oqc_lucy_fidelity,tket_oqc_lucy_critical_depth,tket_rigetti_aspen_m2_time,tket_rigetti_aspen_m2_fidelity,tket_rigetti_aspen_m2_critical_depth,tket_ionq_harmony_time,tket_ionq_harmony_fidelity,tket_ionq_harmony_critical_depth,tket_ionq_aria1_time,tket_ionq_aria1_fidelity,tket_ionq_aria1_critical_depth,tket_quantinuum_h2_time,tket_quantinuum_h2_fidelity,tket_quantinuum_h2_critical_depth
qft_indep_tket_8,qft,8,-1,0.4581649802,0.5735294118,-1,0.0666392672,0.5691489362,0.21245312690734863,0.2003045673,0.373015873,0.20673203468322754,0.3076660169,0.3740458015,106.94118595123291,1.66846e-05,0.4390243902,0.581514835357666,4e-10,0.3211009174,14.248334169387817,0.0531639941,0.5735294118,11.21335506439209,0.4973259978,0.5735294118,13.66028881072998,0.6815428369,0.5735294118,1.7310841083526611,0.2453045899,0.375,1.4040498733520508,0.2243075859,0.3893129771,1.1862258911132812,9.6472e-06,0.5071428571,1.3452661037445068,5.5e-09,0.2131147541,1.1632251739501953,0.0334104311,0.5357142857,1.179107904434204,0.4842150815,0.5357142857,1.0363757610321045,0.5866359128,0.5357142857
graphstate_indep_tket_28,graphstate,28,-1,0.5398886146,0.6785714286,-1,0.0,0.7302904564,0.19158005714416504,0.1240051324,0.7142857143,-1,-1,-1,-1,-1,-1,0.5835912227630615,1.9571e-06,0.6883116883,-1,-1,-1,-1,-1,-1,76.82138633728027,0.8692241288,0.6785714286,1.6597249507904053,0.0432326821,0.6972477064,-1,-1,-1,-1,-1,-1,1.9246881008148193,2e-10,0.5984251969,-1,-1,-1,-1,-1,-1,1.0768318176269531,0.5382705678,0.6785714286
wstate_indep_qiskit_26,wstate,26,-1,0.3954961564,0.46,-1,0.0,0.5779816514,4.2993409633636475,0.1804545709,0.46,0.1950678825378418,0.2101064843,0.3625,-1,-1,-1,11.924125909805298,1.78189e-05,0.46,-1,-1,-1,-1,-1,-1,76.82890701293945,0.702347475,0.46,1.8544559478759766,0.1969485277,0.46,3.111654281616211,0.1069706955,0.3984375,-1,-1,-1,1.6065196990966797,2.963e-07,0.46,-1,-1,-1,-1,-1,-1,1.6776537895202637,0.3750707036,0.46
graphstate_indep_qiskit_30,graphstate,30,-1,0.5166340645,0.8,-1,0.0,0.8016528926,0.20676612854003906,0.0525377532,0.6727272727,-1,-1,-1,-1,-1,-1,0.3480508327484131,1.4553e-06,0.7846153846,-1,-1,-1,-1,-1,-1,40.40901780128479,0.8605657212,0.8,2.2255640029907227,0.0132922292,0.6622222222,-1,-1,-1,-1,-1,-1,2.60343074798584,9.2e-09,0.6868686869,-1,-1,-1,-1,-1,-1,1.4057888984680176,0.5192250024,0.8
portfolioqaoa_indep_tket_7,portfolioqaoa,7,-1,0.729535601,0.6031746032,-1,0.0224184387,0.6031746032,0.4024698734283447,0.1134777295,0.3856502242,0.523280143737793,0.1151682124,0.3162393162,115.91902184486389,4.2e-09,0.4263565891,0.6985793113708496,0.0,0.3551401869,12.547487020492554,0.0855337594,0.6031746032,9.781363248825073,0.5447176633,0.6031746032,12.2777681350708,0.7769994867,0.6031746032,2.5135269165039062,0.0007152332,0.4471544715,2.4260900020599365,0.0104725288,0.3601532567,2.567416191101074,0.0,0.5769230769,2.7117979526519775,0.0,0.4183673469,2.1779799461364746,0.0005310181,0.6031746032,2.169029951095581,0.198800109,0.6031746032,1.886146068572998,0.3266882659,0.6031746032
qaoa_indep_qiskit_6,qaoa,6,-1,0.9360661628,0.5833333333,-1,0.0015282697,0.6431924883,0.11339426040649414,0.2815652676,0.3846153846,0.09204721450805664,0.5322599501,0.3846153846,0.46407127380371094,0.0333619791,0.6111111111,1.41398286819458,0.005417992,0.5,26.93169379234314,0.6066543237,0.5833333333,27.445208072662354,0.8864656546,0.5833333333,28.712377071380615,0.9360661628,0.5833333333,0.6977353096008301,0.1577483825,0.4126984127,0.6286799907684326,0.4457715649,0.6031746032,0.5411949157714844,0.02752623,0.5128205128,0.6721289157867432,0.0297326373,0.3939393939,0.4865601062774658,0.2254609845,0.5833333333,0.5031538009643555,0.7291755564,0.5833333333,0.47434020042419434,0.7952087083,0.5833333333
dj_indep_tket_25,dj,25,-1,0.7274272842,0.0,-1,0.0034311821,0.4758364312,0.36316990852355957,0.0870326927,0.0675675676,0.28084301948547363,0.290607182,0.1176470588,-1,-1,-1,0.3049170970916748,2.9436e-06,0.0298507463,-1,-1,-1,0.6925680637359619,0.7786235215,0.0,70.41725730895996,0.8334652635,0.0,1.730696201324463,0.1293156035,0.3963963964,1.622438907623291,0.0508521925,0.4619047619,-1,-1,-1,1.4525151252746582,0.0,0.3137254902,-1,-1,-1,0.7882881164550781,0.7127351979,0.0,0.8814990520477295,0.6621399571,0.0
graphstate_indep_tket_90,graphstate,90,-1,1.55317e-05,0.8217391304,-1,0.0,0.8808777429,27.9858820438385,3.54995e-05,0.8992628993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.318807125091553,0.0009039993,0.8027210884,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ae_indep_tket_30,ae,30,-1,1.01467e-05,0.8068965517,-1,3.839e-07,0.8068965517,3.603693723678589,0.0,0.6526977475,-1,-1,-1,-1,-1,-1,7.773732900619507,0.0,0.653272101,-1,-1,-1,-1,-1,-1,184.22334599494934,0.0119403728,0.8068965517,18.634541034698486,0.0,0.6916666667,-1,-1,-1,-1,-1,-1,19.695991039276123,0.0,0.6301169591,-1,-1,-1,-1,-1,-1,14.446280002593994,0.0005961484,0.8068965517
ae_indep_tket_7,ae,7,-1,0.5974923586,0.2857142857,-1,0.0026479357,0.4813432836,0.16290998458862305,0.1795321348,0.0810810811,0.14893078804016113,0.4016138058,0.0833333333,4.447913885116577,0.0005301392,0.2105263158,5.231359958648682,3.8899e-06,0.1692307692,49.533599853515625,0.1482090917,0.2857142857,39.97206711769104,0.642107605,0.2857142857,8.750952959060669,0.7943418145,0.2857142857,1.074444055557251,0.2542215741,0.2688172043,0.784714937210083,0.1973637523,0.2444444444,1.0309088230133057,0.0004244634,0.2708333333,1.1514489650726318,5.2e-09,0.2179487179,0.7998871803283691,0.077180205,0.2857142857,0.808243989944458,0.5793665394,0.2857142857,0.7754271030426025,0.6755289272,0.2857142857
