benchmark,num_qubits,RL_fidelity_time,RL_fidelity_fidelity,RL_fidelity_critical_depth,RL_fidelity_gate_ratio,RL_fidelity_mix,RL_critical_depth_time,RL_critical_depth_fidelity,RL_critical_depth_critical_depth,RL_critical_depth_gate_ratio,RL_critical_depth_mix,RL_gate_ratio_time,RL_gate_ratio_fidelity,RL_gate_ratio_critical_depth,RL_gate_ratio_gate_ratio,RL_gate_ratio_mix,RL_mix_time,RL_mix_fidelity,RL_mix_critical_depth,RL_mix_gate_ratio,RL_mix_mix,qiskit_o3_time,qiskit_o3_fidelity,qiskit_o3_critical_depth,qiskit_o3_gate_ratio,qiskit_o3_mix,tket_time,tket_fidelity,tket_critical_depth,tket_gate_ratio,tket_mix
qft,8,5.349037170410156,0.245241508,0.4099378882,0.4187725632,0.3275896981,1.3452060222625732,0.0310686159,0.5735294118,0.8482142857,0.30229901385,1.4653360843658447,0.0310686159,0.5735294118,0.8482142857,0.30229901385,2.6871728897094727,0.0310686159,0.5735294118,0.8482142857,0.30229901385,3.239647150039673,0.1519447347,0.390070922,0.5537974684,0.27100782835,1.7645981311798096,0.1336525875,0.3850931677,0.8668320926,0.2593728776
portfolioqaoa,7,8.678287267684937,0.0241237432,0.4052287582,0.5909090909,0.2146762507,1.04833984375,0.0224184387,0.6031746032,0.9010989011,0.31279652095000005,1.7151541709899902,0.0224184387,0.6031746032,0.9010989011,0.31279652095000005,4.129796981811523,0.0224184387,0.6031746032,0.9010989011,0.31279652095000005,0.6294472217559814,0.0190383951,0.4824902724,0.5821138211,0.25076433375,1.7210898399353027,0.0005639347,0.4471544715,0.8686599039,0.2238592031
qaoa,6,2.5655500888824463,0.4884445989,0.4117647059,0.6666666667,0.4501046524,1.5827369689941406,0.4571242878,0.5833333333,0.9166666667,0.52022881055,1.0639209747314453,0.4571242878,0.5833333333,0.9166666667,0.52022881055,1.4142861366271973,0.4571242878,0.5833333333,0.9166666667,0.52022881055,0.31136012077331543,0.4034097375,0.5476190476,0.7021276596,0.47551439255,0.4056358337402344,0.1070511419,0.4126984127,0.875739645,0.2598747773
ae,7,1.3603200912475586,0.0944352353,0.2857142857,0.8830083565,0.1900747605,2.208919048309326,0.0944352353,0.2857142857,0.8830083565,0.1900747605,1.2703568935394287,0.0944352353,0.2857142857,0.8830083565,0.1900747605,1.3736281394958496,0.0944352353,0.2857142857,0.8830083565,0.1900747605,0.8175280094146729,0.3326653357,0.2,0.6634615385,0.26633266785,0.4093921184539795,0.2443744342,0.2688172043,0.8719008264,0.25659581924999997
wstate,7,5.720714092254639,0.7629811246,0.2666666667,0.8255813953,0.51482389565,1.165027141571045,0.5691830766,0.3333333333,0.8965517241,0.45125820495,1.3873851299285889,0.1756054821,0.3333333333,0.9516129032,0.2544694077,4.9083921909332275,0.7767440244,0.3333333333,0.8775510204,0.55503867885,0.2770669460296631,0.6141845216,0.3333333333,0.7857142857,0.47375892745000003,0.5487086772918701,0.7644261679,0.3333333333,0.9104477612,0.5488797505999999
ghz,9,1.6366362571716309,0.6676785866,0.0,0.8431372549,0.3338392933,22.447450160980225,0.6131483814,0.0,0.9688715953,0.3065741907,1.7827467918395996,0.6676785866,0.0,0.8431372549,0.3338392933,18.010352849960327,0.7996835423,0.0,0.6,0.39984177115,0.1768348217010498,0.757242533,0.0,0.6,0.3786212665,0.09425592422485352,0.7678648995,0.0,0.9245283019,0.38393244975
portfoliovqe,8,4.341858148574829,0.0492650451,0.3573573574,0.6254218223,0.20331120125000002,2.128257989883423,0.0072694569,0.6547619048,0.8944723618,0.33101568085,1.3698492050170898,0.0072694569,0.6547619048,0.8944723618,0.33101568085,2.1286001205444336,0.0072694569,0.6547619048,0.8944723618,0.33101568085,3.42130708694458,0.0115377428,0.3908450704,0.6223404255,0.2011914066,1.1435117721557617,0.0007878035,0.4833333333,0.8673153472,0.2420605684
vqe,11,4.953114032745361,0.3731016463,0.3382352941,0.6761904762,0.3556684702,2.2801530361175537,0.0276182567,0.5620437956,0.5623003195,0.29483102614999995,1.7556309700012207,0.3488519554,0.4,0.8611111111,0.3744259777,9.41017484664917,0.6806433695,0.4,0.8765432099,0.5403216847500001,0.5188097953796387,0.3802867075,0.4,0.8742138365,0.39014335375,0.215501070022583,0.6254274554,0.4,0.9212598425,0.5127137277
qpeexact,15,10.824174880981445,0.0003930826,0.6023916293,0.6530082988,0.30139235595,3.330273151397705,2e-10,0.7088014981,0.2793522267,0.35440074915,7.886396884918213,0.0,0.4817708333,0.867357513,0.24088541665,7.050127267837524,1.4e-09,0.6561302682,0.2839506173,0.3280651348,2.5339901447296143,0.0001573623,0.4422442244,0.4684210526,0.22120079335,2.135565996170044,1.063e-07,0.5083102493,0.8650971599,0.2541551778
wstate,18,9.026565790176392,0.002585469,0.5155709343,0.4536862004,0.25907820165,3.296856164932251,0.0005007988,0.5759493671,0.4794069193,0.28822508295,3.200796127319336,1.453e-07,0.3617021277,0.8738255034,0.18085113649999998,2.7310609817504883,0.311268972,0.578125,0.7894736842,0.44469698599999996,1.8170099258422852,0.2819028929,0.4411764706,0.7806451613,0.36153968174999995,0.3624289035797119,0.1754532795,0.4411764706,0.9095744681,0.30831487505
